STATIONS_ID;MESS_DATUM;QN_8;   P;  P0;eor
       3379;2018042300;    3; 1015.1;  954.8;eor
       3379;2018042301;    3; 1015.4;  954.9;eor
       3379;2018042302;    3; 1015.5;  955.0;eor
       3379;2018042303;    3; 1015.9;  955.2;eor
       3379;2018042304;    3; 1016.3;  955.5;eor
       3379;2018042305;    3; 1016.2;  955.5;eor
       3379;2018042306;    3; 1016.3;  955.7;eor
       3379;2018042307;    3; 1015.5;  955.5;eor
       3379;2018042308;    3; 1015.7;  955.9;eor
       3379;2018042309;    3; 1014.9;  955.7;eor
       3379;2018042310;    3; 1014.7;  955.7;eor
       3379;2018042311;    3; 1014.8;  955.7;eor
       3379;2018042312;    3; 1014.1;  955.2;eor
       3379;2018042313;    3; 1013.4;  954.7;eor
       3379;2018042314;    3; 1013.8;  954.7;eor
       3379;2018042315;    3; 1015.1;  955.3;eor
       3379;2018042316;    3; 1015.1;  955.1;eor
       3379;2018042317;    3; 1015.5;  955.3;eor
       3379;2018042318;    3; 1016.1;  955.7;eor
       3379;2018042319;    3; 1017.3;  956.8;eor
       3379;2018042320;    3; 1017.8;  957.2;eor
       3379;2018042321;    3; 1018.6;  957.8;eor
       3379;2018042322;    3; 1018.7;  957.8;eor
       3379;2018042323;    3; 1019.0;  958.0;eor
       3379;2018042400;    3; 1019.1;  957.9;eor
       3379;2018042401;    3; 1019.1;  957.9;eor
       3379;2018042402;    3; 1019.5;  958.3;eor
       3379;2018042403;    3; 1019.7;  958.4;eor
       3379;2018042404;    3; 1019.7;  958.4;eor
       3379;2018042405;    3; 1020.2;  958.8;eor
       3379;2018042406;    3; 1020.2;  959.0;eor
       3379;2018042407;    3; 1019.7;  958.9;eor
       3379;2018042408;    3; 1019.8;  959.2;eor
       3379;2018042409;    3; 1018.8;  958.6;eor
       3379;2018042410;    3; 1018.3;  958.3;eor
       3379;2018042411;    3; 1017.6;  957.7;eor
       3379;2018042412;    3; 1016.8;  957.2;eor
       3379;2018042413;    3; 1016.4;  956.9;eor
       3379;2018042414;    3; 1015.7;  956.2;eor
       3379;2018042415;    3; 1015.2;  955.7;eor
       3379;2018042416;    3; 1015.0;  955.4;eor
       3379;2018042417;    3; 1014.8;  955.1;eor
       3379;2018042418;    3; 1014.8;  954.9;eor
       3379;2018042419;    3; 1015.4;  955.0;eor
       3379;2018042420;    3; 1015.6;  955.1;eor
       3379;2018042421;    3; 1015.3;  954.7;eor
       3379;2018042422;    3; 1015.1;  954.4;eor
       3379;2018042423;    3; 1015.2;  954.3;eor
       3379;2018042500;    3; 1015.0;  953.8;eor
       3379;2018042501;    3; 1014.7;  953.5;eor
       3379;2018042502;    3; 1014.7;  953.5;eor
       3379;2018042503;    3; 1014.9;  953.6;eor
       3379;2018042504;    3; 1014.3;  953.3;eor
       3379;2018042505;    3; 1014.9;  953.8;eor
       3379;2018042506;    3; 1014.8;  954.0;eor
