STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       3379;2018042300;    3;  17.4;  47.0;eor
       3379;2018042301;    3;  16.3;  54.0;eor
       3379;2018042302;    3;  16.4;  52.0;eor
       3379;2018042303;    3;  15.2;  58.0;eor
       3379;2018042304;    3;  15.1;  58.0;eor
       3379;2018042305;    3;  15.6;  59.0;eor
       3379;2018042306;    3;  15.9;  61.0;eor
       3379;2018042307;    3;  18.9;  46.0;eor
       3379;2018042308;    3;  19.6;  48.0;eor
       3379;2018042309;    3;  22.9;  37.0;eor
       3379;2018042310;    3;  23.8;  35.0;eor
       3379;2018042311;    3;  23.4;  33.0;eor
       3379;2018042312;    3;  24.1;  35.0;eor
       3379;2018042313;    3;  24.8;  35.0;eor
       3379;2018042314;    3;  22.5;  47.0;eor
       3379;2018042315;    3;  19.6;  53.0;eor
       3379;2018042316;    3;  18.3;  59.0;eor
       3379;2018042317;    3;  17.3;  62.0;eor
       3379;2018042318;    3;  16.9;  62.0;eor
       3379;2018042319;    3;  16.5;  64.0;eor
       3379;2018042320;    3;  16.3;  66.0;eor
       3379;2018042321;    3;  15.5;  73.0;eor
       3379;2018042322;    3;  14.8;  77.0;eor
       3379;2018042323;    3;  14.2;  84.0;eor
       3379;2018042400;    3;  13.3;  87.0;eor
       3379;2018042401;    3;  13.3;  85.0;eor
       3379;2018042402;    3;  13.5;  83.0;eor
       3379;2018042403;    3;  13.4;  83.0;eor
       3379;2018042404;    3;  13.1;  84.0;eor
       3379;2018042405;    3;  12.8;  87.0;eor
       3379;2018042406;    3;  13.7;  81.0;eor
       3379;2018042407;    3;  15.5;  71.0;eor
       3379;2018042408;    3;  16.8;  67.0;eor
       3379;2018042409;    3;  18.7;  57.0;eor
       3379;2018042410;    3;  19.5;  49.0;eor
       3379;2018042411;    3;  19.9;  48.0;eor
       3379;2018042412;    3;  21.2;  39.0;eor
       3379;2018042413;    3;  21.5;  37.0;eor
       3379;2018042414;    3;  21.7;  35.0;eor
       3379;2018042415;    3;  21.5;  35.0;eor
       3379;2018042416;    3;  20.9;  38.0;eor
       3379;2018042417;    3;  20.4;  38.0;eor
       3379;2018042418;    3;  19.3;  41.0;eor
       3379;2018042419;    3;  16.6;  55.0;eor
       3379;2018042420;    3;  16.4;  56.0;eor
       3379;2018042421;    3;  15.7;  59.0;eor
       3379;2018042422;    3;  15.1;  58.0;eor
       3379;2018042423;    3;  14.3;  59.0;eor
       3379;2018042500;    3;  12.5;  70.0;eor
       3379;2018042501;    3;  12.4;  72.0;eor
       3379;2018042502;    3;  12.7;  71.0;eor
       3379;2018042503;    3;  12.1;  75.0;eor
       3379;2018042504;    3;  13.2;  71.0;eor
       3379;2018042505;    3;  13.0;  73.0;eor
       3379;2018042506;    3;  14.6;  68.0;eor
       3379;2018042507;    3;  17.7;  55.0;eor
       3379;2018042508;    3;  19.7;  48.0;eor
       3379;2018042509;    3;  21.8;  44.0;eor
       3379;2018042510;    3;  22.1;  38.0;eor
       3379;2018042511;    3;  22.9;  35.0;eor
       3379;2018042512;    3;  23.4;  35.0;eor
       3379;2018042513;    3;  23.8;  29.0;eor
       3379;2018042514;    3;  23.8;  31.0;eor
       3379;2018042515;    3;  23.2;  32.0;eor
       3379;2018042516;    3;  22.1;  36.0;eor
       3379;2018042517;    3;  21.8;  39.0;eor
       3379;2018042518;    3;  19.2;  48.0;eor
       3379;2018042519;    3;  17.4;  54.0;eor
       3379;2018042520;    3;  16.5;  58.0;eor
       3379;2018042521;    3;  16.4;  59.0;eor
       3379;2018042522;    3;  14.6;  79.0;eor
       3379;2018042523;    3;  13.9;  83.0;eor
       3379;2018042600;    3;  13.3;  83.0;eor
       3379;2018042601;    3;  12.6;  88.0;eor
       3379;2018042602;    3;  12.3;  82.0;eor
       3379;2018042603;    3;  11.9;  78.0;eor
       3379;2018042604;    3;  11.2;  73.0;eor
       3379;2018042605;    3;  10.7;  60.0;eor
       3379;2018042606;    3;   8.9;  76.0;eor
       3379;2018042607;    3;   9.0;  80.0;eor
       3379;2018042608;    3;   9.8;  74.0;eor
       3379;2018042609;    3;  10.2;  69.0;eor
       3379;2018042610;    3;  10.5;  69.0;eor
       3379;2018042611;    3;  11.3;  66.0;eor
       3379;2018042612;    3;  11.7;  63.0;eor
       3379;2018042613;    3;  11.8;  56.0;eor
       3379;2018042614;    3;  12.2;  54.0;eor
       3379;2018042615;    3;  12.5;  51.0;eor
