STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       3379;2018060600;   10;   3.1;  60;eor
       3379;2018060601;   10;   2.5;  80;eor
       3379;2018060602;   10;   2.1;  80;eor
       3379;2018060603;   10;   2.1;  70;eor
       3379;2018060604;   10;   1.7;  70;eor
       3379;2018060605;   10;   1.3;  80;eor
       3379;2018060606;   10;   1.9; 100;eor
       3379;2018060607;   10;   1.9;  70;eor
       3379;2018060608;   10;   2.4;  60;eor
       3379;2018060609;   10;   2.7;  60;eor
       3379;2018060610;   10;   2.4;  60;eor
       3379;2018060611;   10;   2.2;  60;eor
       3379;2018060612;   10;   2.7;  80;eor
       3379;2018060613;   10;   3.0;  70;eor
       3379;2018060614;   10;   2.7;  70;eor
       3379;2018060615;   10;   3.1;  90;eor
       3379;2018060616;   10;   4.8; 220;eor
       3379;2018060617;   10;   1.7; 150;eor
       3379;2018060618;   10;   2.6; 100;eor
       3379;2018060619;   10;   3.2; 140;eor
       3379;2018060620;   10;   2.2; 100;eor
       3379;2018060621;   10;   0.9; 180;eor
       3379;2018060622;   10;   1.7; 200;eor
       3379;2018060623;   10;   1.9;  30;eor
       3379;2018060700;   10;   1.8;  80;eor
       3379;2018060701;   10;   1.5; 120;eor
       3379;2018060702;   10;   1.3; 140;eor
       3379;2018060703;   10;   1.1;  70;eor
       3379;2018060704;   10;   1.4; 240;eor
       3379;2018060705;   10;   1.4; 240;eor
       3379;2018060706;   10;   2.3; 250;eor
       3379;2018060707;   10;   3.0; 270;eor
       3379;2018060708;   10;   2.9; 280;eor
       3379;2018060709;   10;   1.9; 290;eor
       3379;2018060710;   10;   1.9; 300;eor
       3379;2018060711;   10;   2.2; 260;eor
       3379;2018060712;   10;   1.7; 330;eor
       3379;2018060713;   10;   1.6;  10;eor
       3379;2018060714;   10;   1.9;  70;eor
       3379;2018060715;   10;   1.4;  50;eor
       3379;2018060716;   10;   2.7; 210;eor
       3379;2018060717;   10;   3.3; 170;eor
       3379;2018060718;   10;   1.6; 120;eor
       3379;2018060719;   10;   1.5; 210;eor
       3379;2018060720;   10;   1.9; 250;eor
       3379;2018060721;   10;   1.0;  30;eor
       3379;2018060722;   10;   0.6;  80;eor
       3379;2018060723;   10;   1.3;  60;eor
       3379;2018060800;   10;   0.8; 230;eor
       3379;2018060801;   10;   1.0; 250;eor
       3379;2018060802;   10;   1.2; 260;eor
       3379;2018060803;   10;   1.8; 210;eor
       3379;2018060804;   10;   1.3; 230;eor
       3379;2018060805;   10;   1.3; 330;eor
       3379;2018060806;   10;   1.4; 330;eor
       3379;2018060807;   10;   0.6; 340;eor
       3379;2018060808;   10;   1.3; 360;eor
       3379;2018060809;   10;   1.9;  30;eor
       3379;2018060810;   10;   3.2;  70;eor
       3379;2018060811;   10;   3.0;  60;eor
       3379;2018060812;   10;   3.2;  70;eor
       3379;2018060813;   10;   3.2;  70;eor
       3379;2018060814;   10;   2.9;  60;eor
       3379;2018060815;   10;   3.6;  70;eor
       3379;2018060816;   10;   4.0;  90;eor
       3379;2018060817;   10;   3.8; 200;eor
       3379;2018060818;   10;   1.6; 250;eor
       3379;2018060819;   10;   2.3; 250;eor
       3379;2018060820;   10;   2.7; 240;eor
       3379;2018060821;   10;   2.5; 250;eor
       3379;2018060822;   10;   2.9; 270;eor
       3379;2018060823;   10;   3.1; 250;eor
       3379;2018060900;   10;   2.8; 250;eor
       3379;2018060901;   10;   2.5; 240;eor
       3379;2018060902;   10;   2.7; 250;eor
       3379;2018060903;   10;   2.9; 250;eor
       3379;2018060904;   10;   3.1; 250;eor
       3379;2018060905;   10;   2.2; 240;eor
       3379;2018060906;   10;   3.1; 240;eor
       3379;2018060907;   10;   4.0; 250;eor
       3379;2018060908;   10;   3.9; 270;eor
       3379;2018060909;   10;   3.5; 270;eor
       3379;2018060910;   10;   3.8; 260;eor
       3379;2018060911;   10;   3.2; 260;eor
       3379;2018060912;   10;   2.8; 260;eor
       3379;2018060913;   10;   2.3; 280;eor
       3379;2018060914;   10;   2.8; 270;eor
       3379;2018060915;   10;   2.4; 310;eor
       3379;2018060916;   10;   2.3;  50;eor
       3379;2018060917;   10;   3.0;  80;eor
       3379;2018060918;   10;   1.3; 100;eor
       3379;2018060919;   10;   0.9;  70;eor
       3379;2018060920;   10;   1.0;  90;eor
       3379;2018060921;   10;   1.6; 250;eor
       3379;2018060922;   10;   1.3; 300;eor
       3379;2018060923;   10;   1.7; 280;eor
       3379;2018061000;   10;   1.4; 250;eor
       3379;2018061001;   10;   1.7; 240;eor
       3379;2018061002;   10;   1.8; 230;eor
       3379;2018061003;   10;   2.5; 230;eor
       3379;2018061004;   10;   2.4; 240;eor
       3379;2018061005;   10;   1.9; 230;eor
       3379;2018061006;   10;   2.4; 250;eor
       3379;2018061007;   10;   2.9; 280;eor
       3379;2018061008;   10;   2.4; 280;eor
       3379;2018061009;   10;   2.9; 310;eor
       3379;2018061010;   10;   2.3; 290;eor
       3379;2018061011;   10;   2.6; 300;eor
       3379;2018061012;   10;   2.7; 300;eor
       3379;2018061013;   10;   3.4; 310;eor
       3379;2018061014;   10;   3.3; 330;eor
       3379;2018061015;   10;   2.0; 310;eor
       3379;2018061016;   10;   2.7; 300;eor
